Name;NORAD_number;Revolution_number
COSMOS 724;7727;55999.0
GEOS 3;7734;59276.0
COSMOS 726;7736;51853.0
COSMOS 729;7768;50807.0
MOLNIYA 1-29;7780;36687.0
ANIK A3 (TELESAT 3);7790;12595.0
INTELSAT 4-F1;7815;11805.0
OPS 6226 (DMSP 5C F7);7816;30281.0
COSMOS 732;7820;29198.0
COSMOS 733;7822;25942.0
COSMOS 734;7823;28298.0
COSMOS 735;7824;27857.0
COSMOS 736;7825;27403.0
COSMOS 737;7826;26459.0
COSMOS 738;7827;26922.0
COSMOS 739;7828;28739.0
NIMBUS 6;7924;44247.0
OPS 6381 (SSU 1);7937;31061.0
METEOR 2-1;8026;56289.0
COSMOS 755;8072;49385.0
SYMPHONIE 2;8132;13845.0
MOLNIYA 2-14;8195;36430.0
KIKU-1 (ETS-I);8197;46795.0
COSMOS 761;8285;27648.0
COSMOS 762;8286;26732.0
COSMOS 763;8287;25399.0
COSMOS 764;8288;24953.0
COSMOS 765;8289;24453.0
COSMOS 766;8290;27161.0
COSMOS 767;8291;26300.0
COSMOS 768;8292;25863.0
METEOR 1-22;8293;55684.0
COSMOS 770;8325;39086.0
INTELSAT 4A-F1;8330;11746.0
COSMOS 773;8343;59491.0
COSMOS 775;8357;12774.0
GOES 1 (SMS-C);8366;18105.0
COSMOS 778;8419;48386.0
COSMOS 783;8458;58282.0
COSMOS 785;8473;49404.0
SATCOM 1;8476;4237.0
OPS 3165 (DSP 5);8482;2243.0
RADUGA 1;8513;19079.0
METEOR 1-23;8519;54073.0
CTS;8585;11828.0
COSMOS 789;8591;47019.0
MOLNIYA 1-32;8601;7382.0
COSMOS 791;8607;25809.0
COSMOS 792;8608;24985.0
COSMOS 793;8609;25382.0
COSMOS 794;8610;24573.0
COSMOS 795;8611;24137.0
COSMOS 796;8612;23705.0
COSMOS 797;8613;23234.0
COSMOS 798;8614;22704.0
INTELSAT 4A-F2;8620;61662.0
COSMOS 800;8645;46649.0
COSMOS 803;8688;72942.0
MARISAT 1;8697;17812.0
UME (ISS);8709;46217.0
COSMOS 807;8744;49124.0
LES-8;8746;12566.0
LES-9;8747;12565.0
SOLRAD 11A;8748;467.0
SATCOM 2;8774;11556.0
METEOR 1-24;8799;52780.0
NATO 3A;8808;74327.0
OPS 6431;8818;5156.0
LAGEOS 1;8820;88754.0
SSU 1;8835;30345.0
SSU 2;8836;29591.0
COMSTAR 1;8838;11657.0
METEOR 1-25;8845;66844.0
P 76-5;8860;44164.0
COSMOS 823;8873;45220.0
MARISAT 3;8882;11736.0
SSU 3;8884;30650.0
COSMOS 825;8889;24193.0
COSMOS 826;8890;21130.0
COSMOS 827;8891;65573.0
COSMOS 828;8892;23370.0
COSMOS 829;8893;22930.0
COSMOS 830;8894;22499.0
COSMOS 831;8895;22053.0
COSMOS 832;8896;21623.0
OPS 2112 (DSP 6);8916;2151.0
COSMOS 836;8923;55283.0
PALAPA 1;9009;12393.0
COSMOS 839;9011;21078.0
COSMOS 841;9022;55488.0
COSMOS 842;9025;44708.0
COMSTAR 2;9047;17952.0
NOAA 5;9057;20495.0
COSMOS 846;9061;72046.0
OPS 5721 (DMSP 5D-1 F1);9415;29539.0
RADUGA 2;9416;12532.0
COSMOS 858;9443;54165.0
MARISAT 2;9478;11945.0
METEOR 1-26;9481;49725.0
COSMOS 860;9486;82794.0
COSMOS 861;9494;45064.0
COSMOS 862;9495;23361.0
EKRAN 1;9503;19449.0
COSMOS 864;9509;43572.0
COSMOS 871;9588;21999.0
COSMOS 872;9589;22414.0
COSMOS 873;9590;20376.0
COSMOS 874;9591;19922.0
COSMOS 875;9592;21628.0
COSMOS 876;9593;19451.0
COSMOS 877;9594;21245.0
COSMOS 878;9595;20796.0
COSMOS 883;9610;43015.0
COSMOS 886;9634;22987.0
COSMOS 887;9637;42862.0
METEOR 2-2;9661;47416.0
COSMOS 890;9737;41773.0
NATO 3B;9785;11285.0
OPS 3151 (DSP 7);9803;2074.0
TANSEI-3 (MS-T3);9841;89072.0
COSMOS 894;9846;41718.0
KIKU-2 (ETS-II);9852;12322.0
PALAPA 2;9862;13910.0
MOLNIYA 1-36;9880;25062.0
METEOR 1-27;9903;47144.0
GEOS-1;9931;34399.0
OPS 9437 (DSCS 2-7);10000;16166.0
OPS 9438 (DSCS 2-8);10001;11370.0
COSMOS 909;10010;13604.0
OPS 9751;10016;2243.0
COSMOS 911;10019;40715.0
INTELSAT 4A-F4;10024;4299.0
OPS 5644 (DMSP 5D-1 F2);10033;31090.0
GOES 2;10061;4229.0
NTS 2;10091;35065.0
COSMOS 921;10095;59479.0
COSMOS 923;10120;49884.0
COSMOS 926;10137;39578.0
COSMOS 928;10141;40271.0
HIMAWARI-1 (GMS-1);10143;11725.0
COSMOS 931;10150;35072.0
RADUGA 3;10159;17302.0
COSMOS 939;10282;18504.0
COSMOS 940;10286;19305.0
COSMOS 941;10287;18897.0
COSMOS 942;10288;14663.0
COSMOS 943;10289;15568.0
COSMOS 944;10290;15336.0
COSMOS 945;10291;15120.0
COSMOS 946;10292;14908.0
SIRIO;10294;11390.0
COSMOS 951;10352;38950.0
COSMOS 952;10358;40809.0
EKRAN 2;10365;13083.0
MOLNIYA 3-8;10455;34834.0
TRANSAT;10457;33861.0
COSMOS 962;10459;38439.0
METEOSAT-1;10489;13319.0
COSMOS 963;10491;28328.0
OPS 8781;10502;5174.0
COSMOS 967;10512;38032.0
METEOR 2-3;10514;43836.0
SAKURA (CS);10516;13163.0
COSMOS 968;10520;48168.0
SS 1;10529;29655.0
COSMOS 970;10531;74501.0
COSMOS 971;10536;37446.0
COSMOS 972;10539;40072.0
SS 2;10544;29672.0
INTELSAT 4A-F3;10557;4474.0
COSMOS 976;10581;16243.0
COSMOS 977;10584;16110.0
COSMOS 978;10585;15900.0
COSMOS 979;10586;16622.0
COSMOS 980;10587;15834.0
COSMOS 981;10588;15410.0
COSMOS 982;10589;14981.0
COSMOS 983;10590;14525.0
SS 3;10594;31113.0
COSMOS 985;10599;37699.0
IUE;10637;12506.0
KYOKKO (EXOS-A);10664;83966.0
OPS 6391 (FLTSATCOM 1);10669;75068.0
UME-2 (ISS-B);10674;31718.0
COSMOS 990;10676;47246.0
NAVSTAR 1 (OPS 5111);10684;32847.0
COSMOS 991;10692;37030.0
